CROP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Maize ,1012700,938000,1400000,1289000,1157600,1171400,1188800,1219600,1470100,1619600,1871100,1684000,1949900
Paddy Rice,214600,253200,280000,239000,241800,236500,250000,185300,301900,391400,491600,464000,481100
Millet,169400,134400,159120,176000,143800,154600,165000,113000,193800,245500,219000,184000,179700
Sorghum,279800,279700,316100,337700,287400,299000,315000,154800,331000,350600,353000,287100,280000
Cassava,8106800,8965800,9731000,10239300,9738200,9567200,9638000,10217900,11351100,12230600,13504100,14240900,14547300
Cocoyam,1625100,1687500,1860000,1804700,1715900,1685800,1660000,1690100,1688300,1504000,1354800,1299600,1270300
Yam ,3362900,3546700,3900000,3812800,3892300,3922800,4288000,4376000,4894900,5777900,5860500,5855100,6638900
Plantain,1932500,2073800,2278800,2328600,2380800,2791600,2900000,3233700,3337700,3562500,3537700,3619800,3556500
Groundnuts,208600,286800,520000,439000,389600,420000,520000,301800,470100,485100,530900,465100,475100
Oil Palm,1066400,1586500,1612000,1640100,1686800,1712600,1737900,1684500,1896800,2103600,2004300,2125600,2196100
Beans,63300,62500,140000,145600,141400,143800,167000,118900,179900,204800,219300,236700,223200
